DATE,AWAY,HOME,AWAY_MONEYLINE,HOME_MONEYLINE
2024-11-27,Hawks,Cavaliers,350,-455
2024-11-27,Bulls,Magic,320,-410
2024-11-27,Trail Blazers,Pacers,360,-470
2024-11-27,Clippers,Wizards,-470,360
2024-11-27,Rockets,76ers,-218,180
2024-11-27,Heat,Hornets,-175,145
2024-11-27,Knicks,Mavericks,-170,142
2024-11-27,Kings,Timberwolves,130,-155
2024-11-27,Pistons,Grizzlies,275,-345
2024-11-27,Raptors,Pelicans,130,-155
2024-11-27,Lakers,Spurs,-125,105
2024-11-27,Nuggets,Jazz,-535,400
2024-11-27,Nets,Suns,320,-410
2024-11-27,Thunder,Warriors,-180,150
2024-12-02,Heat,Celtics,575,-950
2024-12-02,Pelicans,Hawks,325,-540
2024-12-02,Lakers,Timberwolves,230,-285
2024-12-02,Nets,Bulls,250,-310
2024-12-03,Bucks,Pistons,-162,126
2024-12-03,76ers,Hornets,-205,170
2024-12-03,Wizards,Cavaliers,950,-1650
2024-12-03,Magic,Knicks,190,-230
2024-12-03,Pacers,Raptors,-130,110
2024-12-03,Jazz,Thunder,750,-1200
2024-12-03,Grizzlies,Mavericks,150,-180
2024-12-03,Spurs,Suns,205,-250
2024-12-03,Warriors,Nuggets,170,-205
2024-12-03,Rockets,Kings,-130,110
2024-12-03,Trail Blazers,Clippers,310,-395
2024-12-05,Mavericks,Wizards,-750,525
2024-12-05,Nuggets,Cavaliers,140,-166
2024-12-05,Hornets,Knicks,850,-1450
2024-12-05,Thunder,Raptors,-410,320
2024-12-05,Bulls,Spurs,110,-130
2024-12-05,Suns,Pelicans,-115,-105
2024-12-05,Kings,Grizzlies,150,-180
2024-12-05,Rockets,Warriors,-170,142


