DATE,AWAY,HOME,AWAY_MONEYLINE,HOME_MONEYLINE,GAME_ID,CITY,NICKNAME,Model_Predicted_Win,Probability_Home_Team_Wins,Actual_Home_Win,Correct_Model_Predictions,Wager_Yes_No,Optimal_Wager,Potential_Return,Actual_Return
2024-11-27,Hawks,Cavaliers,350,-455,22400287,Cleveland,Cavaliers,1.0,0.9999998773879936,False,False,0.0,0.0,0.0,0.0
2024-11-27,Bulls,Magic,320,-410,22400289,Orlando,Magic,1.0,0.9818858268321766,True,True,0.0,0.0,0.0,0.0
2024-11-27,Trail Blazers,Pacers,360,-470,22400288,Indiana,Pacers,0.0,0.2096069019933269,True,False,1.0,17.857143,64.28571480000001,0.0
2024-11-27,Clippers,Wizards,-470,360,22400291,Washington,Wizards,1.0,0.8884859823593164,False,False,1.0,892.85714,3214.285704,0.0
2024-11-27,Rockets,76ers,-218,180,22400290,Philadelphia,76ers,0.0,0.00017106700829037284,False,True,0.0,0.0,0.0,0.0
2024-11-27,Heat,Hornets,-175,145,22400286,Charlotte,Hornets,0.0,0.0001006500248907624,False,True,0.0,0.0,0.0,0.0
2024-11-27,Knicks,Mavericks,-170,142,22400292,Dallas,Mavericks,0.0,2.0331844360388664e-05,True,False,0.0,0.0,0.0,0.0
2024-11-27,Kings,Timberwolves,130,-155,22400294,Minnesota,Timberwolves,1.0,0.9999429619100662,False,False,0.0,0.0,0.0,0.0
2024-11-27,Pistons,Grizzlies,275,-345,22400293,Memphis,Grizzlies,0.0,0.01779508965282141,True,False,1.0,17.857143,49.10714325,0.0
2024-11-27,Raptors,Pelicans,130,-155,22400295,New Orleans,Pelicans,0.0,3.5158204593198616e-05,False,True,1.0,17.857143,23.2142859,23.2142859
2024-11-27,Lakers,Spurs,-125,105,22400296,San Antonio,Spurs,1.0,0.9999584563163331,False,False,1.0,17.857143,18.75000015,0.0
2024-11-27,Nuggets,Jazz,-535,400,22400298,Utah,Jazz,0.0,6.248372253118702e-07,False,True,0.0,0.0,0.0,0.0
2024-11-27,Nets,Suns,320,-410,22400297,Phoenix,Suns,0.0,0.10787214582476784,False,True,1.0,17.857143,57.142857600000006,57.142857600000006
2024-11-27,Thunder,Warriors,-180,150,22400299,Golden State,Warriors,1.0,0.8894158122700024,False,False,1.0,17.857143,26.7857145,0.0
2024-12-02,Heat,Celtics,575,-950,22400316,Boston,Celtics,1.0,0.9999994660787648,True,True,0.0,0.0,0.0,0.0
2024-12-02,Pelicans,Hawks,325,-540,22400315,Atlanta,Hawks,1.0,0.9941696477551495,True,True,0.0,0.0,0.0,0.0
2024-12-02,Lakers,Timberwolves,230,-285,22400318,Minnesota,Timberwolves,1.0,0.9995554723919481,True,True,1.0,62.5,143.75,0.0
2024-12-02,Nets,Bulls,250,-310,22400317,Chicago,Bulls,0.0,0.0003745752064079057,True,False,1.0,937.5,302.4193548387097,302.4193548387097
2024-12-03,Bucks,Pistons,-162,126,22400052,Detroit,Pistons,1.0,0.9469948892197144,False,False,1.0,22.727273,28.636363980000002,0.0
2024-12-03,76ers,Hornets,-205,170,22400050,Charlotte,Hornets,0.0,0.3796776220398552,False,True,0.0,0.0,0.0,0.0
2024-12-03,Wizards,Cavaliers,950,-1650,22400051,Cleveland,Cavaliers,1.0,0.9996846460460791,True,True,0.0,0.0,0.0,0.0
2024-12-03,Magic,Knicks,190,-230,22400053,New York,Knicks,1.0,0.9456328247443198,True,True,0.0,0.0,0.0,0.0
2024-12-03,Pacers,Raptors,-130,110,22400054,Toronto,Raptors,1.0,0.9977857787938283,True,True,1.0,22.727273,17.482517692307695,0.0
2024-12-03,Jazz,Thunder,750,-1200,22400055,Oklahoma City,Thunder,0.0,0.0192439769164134,True,False,1.0,909.09091,6818.181825,0.0
2024-12-03,Grizzlies,Mavericks,150,-180,22400056,Dallas,Mavericks,1.0,0.668536955775624,True,True,0.0,0.0,0.0,0.0
2024-12-03,Spurs,Suns,205,-250,22400057,Phoenix,Suns,1.0,0.9599379194566674,True,True,0.0,0.0,0.0,0.0
2024-12-03,Warriors,Nuggets,170,-205,22400058,Denver,Nuggets,0.0,0.00028785613151412095,True,False,1.0,22.727273,38.6363641,0.0
2024-12-03,Rockets,Kings,-130,110,22400059,Sacramento,Kings,1.0,0.9846597932265584,True,True,1.0,22.727273,17.482517692307695,0.0
2024-12-03,Trail Blazers,Clippers,310,-395,22400060,LA,Clippers,1.0,0.9999820673549565,True,True,0.0,0.0,0.0,0.0
2024-12-05,Mavericks,Wizards,-750,525,22400326,Washington,Wizards,1.0,0.9843100375726308,False,False,1.0,906.25,4757.8125,0.0
2024-12-05,Nuggets,Cavaliers,140,-166,22400325,Cleveland,Cavaliers,1.0,0.9951165510260974,True,True,1.0,31.25,18.82530120481928,18.82530120481928
2024-12-05,Hornets,Knicks,850,-1450,22400327,New York,Knicks,1.0,0.9975056061751026,True,True,0.0,0.0,0.0,0.0
2024-12-05,Thunder,Raptors,-410,320,22400328,Toronto,Raptors,0.0,0.001203943034489633,False,True,0.0,0.0,0.0,0.0
2024-12-05,Bulls,Spurs,110,-130,22400331,San Antonio,Spurs,1.0,0.6321256404592549,False,False,0.0,0.0,0.0,0.0
2024-12-05,Suns,Pelicans,-115,-105,22400330,New Orleans,Pelicans,1.0,0.9328226384986964,True,True,1.0,31.25,27.17391304347826,0.0
2024-12-05,Kings,Grizzlies,150,-180,22400329,Memphis,Grizzlies,1.0,0.8192050572084485,True,True,1.0,31.25,46.875,0.0
2024-12-05,Rockets,Warriors,-170,142,22400332,Golden State,Warriors,0.0,0.26258712304750353,True,False,0.0,0.0,0.0,0.0
